RESULTADO	PROGRAMA	CLASIFICACION	NPERSONAS	NIVELEDUC	OCUPADO	HOMBRE
-.41659769	0	-9	8	4	0	0
.4463717	0	-7	7	0	1	0
-.48986837	0	-10	14	5	1	1
.88156909	0	-7	4	2	0	1
.17798957	0	-7	5	3	0	1
.32465127	0	-8	7	4	0	0
.031982105	0	-9	8	5	0	1
.52155209	0	-8	6	3	0	1
-.014798504	0	-8	7	5	0	1
-.13265084	0	-8	10	11	0	0
-.41849548	0	-9	6	3	0	0
.28485873	0	-9	6	3	0	0
-.43041822	0	-7	7	7	0	1
-.013099745	0	-4	3	1	0	0
-.48946694	0	-5	3	2	0	0
-.67651492	0	-5	3	2	0	0
-.21760386	0	-5	4	3	0	1
-.034052078	0	-5	4	3	0	0
.36654773	0	-5	4	3	0	1
-.032126326	0	-5	4	3	0	0
.66346079	0	-5	4	4	0	1
.24525362	0	-4	4	4	0	1
-.10715066	0	-5	4	4	0	1
.54563153	0	-4	4	4	0	1
.29710299	0	-4	5	5	0	1
-.21078552	0	-5	5	5	0	0
-.02179897	0	-4	5	5	0	1
.31330001	0	-5	5	5	0	1
.70685089	0	-4	5	5	0	1
-.44918427	0	-5	6	0	1	0
.81470543	0	-4	6	0	1	1
-.38398224	0	-4	7	8	0	1
-.056863204	0	-7	8	0	1	0
.3222017	0	-9	8	5	0	1
.080092929	0	-9	9	5	0	0
-.064164825	0	-9	9	5	0	0
-.057240255	0	-10	13	4	1	1
.47391108	0	-10	7	0	0	0
-1.0393981	0	-10	9	0	0	1
.20157576	0	-4	4	4	0	1
-.10134803	0	-8	8	7	0	1
-.1583524	0	-8	8	0	1	1
.83412421	0	-9	10	2	1	0
-.30589056	0	-7	3	0	0	1
-.28038549	0	-7	4	0	0	1
.47620985	0	-7	5	3	0	0
-.029401928	0	-7	8	1	1	0
-.24296667	0	-10	9	0	0	1
-.25067708	0	-9	6	0	0	1
-.22925641	0	-8	11	5	1	1
-.41802299	0	-8	11	5	1	1
.081245296	0	-6	5	5	0	0
.77254289	0	-8	5	2	0	0
.2751365	0	-8	7	5	0	0
-.16302168	0	-7	9	2	1	0
-.10162751	0	-7	10	4	1	0
.14702676	0	-8	10	4	1	0
.38072672	0	-8	10	4	1	1
.032684982	0	-6	6	0	1	0
.59508532	0	-8	12	5	1	0
.08747872	0	-9	6	0	0	0
.59363168	0	-9	6	0	0	1
-.2305965	0	-8	10	3	1	1
-.26841056	0	-9	5	0	0	0
-.10387615	0	-9	5	1	0	0
-.6540845	0	-8	9	0	1	0
.36399367	0	-8	9	0	1	0
.27372465	0	-9	5	0	0	0
-.0231259	0	-7	3	0	0	1
.18641329	0	-7	5	3	0	0
-.16143592	0	-6	9	4	1	1
-.51430953	0	-7	10	5	1	1
.33118862	0	-3	2	1	0	0
.72695386	0	-3	3	3	0	1
.35230336	0	-3	3	3	0	0
-.11864388	0	-3	3	3	0	1
-.14965296	0	-4	4	5	0	1
.2161151	0	-3	4	5	0	0
.29660305	0	-3	4	5	0	0
-.63273883	0	-4	4	5	0	0
.55279535	0	-3	4	5	0	0
-.13689829	0	-4	4	5	0	1
.14968507	0	-3	4	5	0	1
-.66968948	0	-3	4	5	0	0
.10471053	0	-3	4	5	0	0
.24472794	0	-3	4	5	0	1
.73149621	0	-4	4	5	0	1
.60814238	0	-3	4	5	0	0
.04697511	0	-4	4	5	0	1
-.16162629	0	-4	4	5	0	0
.012268423	0	-4	4	5	0	1
.74626517	0	-3	5	0	1	0
.044930857	0	-3	5	0	1	1
.05492571	0	-3	5	0	1	1
.14560454	0	-4	5	0	1	0
-.26323199	0	-3	5	6	0	0
-.5659157	0	-4	5	7	0	1
.023465354	0	-4	5	7	0	0
.14024584	0	-4	6	7	0	1
-.075027794	0	-4	6	8	0	0
-.42573562	0	-4	6	8	0	1
-1.1491531	0	-9	8	4	0	0
.39181545	0	-7	5	2	0	1
.003656714	0	-7	5	2	0	1
-.0025332612	0	-8	8	0	1	1
-.030131284	0	-6	5	5	0	0
.24980192	0	-5	6	0	1	0
-.15399447	0	-9	6	2	0	0
-.11655049	0	-6	6	5	0	0
-.27810574	0	-4	7	2	1	0
-.046687856	0	-8	8	0	1	1
.021522496	0	-5	6	0	1	0
.22760662	0	-5	9	5	1	0
-.16462474	0	-9	8	5	0	1
.043233987	0	-9	7	3	0	0
.18967947	0	-8	6	2	0	0
-.097349554	0	-9	5	0	0	0
-.25269291	0	-9	6	0	0	1
.00049725949	0	-4	6	0	1	0
-.012919071	0	-9	6	3	0	1
.39750051	0	-7	6	5	0	0
.60214192	0	-6	8	3	1	0
-.59491211	0	-9	10	0	1	1
-.19632819	0	-9	10	0	1	1
-.30432272	0	-7	5	4	0	1
-.34573978	0	-6	5	5	0	0
-.46364874	0	-9	9	5	0	0
-1.1270843	0	-7	4	0	0	1
-.026011275	0	-3	4	5	0	0
-.4186272	0	-3	5	0	1	1
.26667398	0	-7	6	5	0	1
-.72584707	0	-3	7	3	1	1
.59758073	0	-7	5	2	0	1
.80604422	0	-8	5	2	0	1
-.11883441	0	-5	3	2	0	0
.11238503	0	-4	9	5	1	0
-.10919015	0	-2	3	4	0	0
.35429481	0	-3	3	4	0	0
.40315399	0	-2	3	5	0	0
.61752677	0	-2	3	5	0	1
.10667101	0	-2	3	5	0	1
.24995476	0	-2	3	5	0	0
.40153658	0	-3	3	5	0	0
.17968102	0	-2	3	5	0	0
1.4286101	0	-2	3	5	0	1
.37920111	0	-2	3	5	0	0
.27212271	0	-2	3	5	0	1
.24939919	0	-2	3	5	0	0
1.3588724	0	-2	3	5	0	1
.41722429	0	-2	3	5	0	1
1.0487622	0	-2	3	5	0	0
.40106311	0	-2	3	5	0	0
1.3017306	0	-2	3	5	0	0
-.32965767	0	-2	3	5	0	1
.18296348	0	-3	3	5	0	1
.96778339	0	-2	3	5	0	0
1.2183644	0	-2	4	6	0	1
.3863883	0	-2	4	6	0	0
-1.2398038	0	-3	4	6	0	1
.23449785	0	-2	4	6	0	1
-.028449886	0	-2	4	6	0	0
-.15248092	0	-2	4	6	0	1
.32167733	0	-2	4	6	0	1
.53551227	0	-2	4	6	0	1
.27805939	0	-2	4	7	0	1
.31626949	0	-3	4	7	0	0
.26942658	0	-2	5	1	1	1
.17908718	0	-2	5	1	1	0
.14362818	0	-2	5	1	1	0
-.33297235	0	-7	5	4	0	1
-.044978973	0	-2	5	8	0	0
1.628533	0	-2	5	8	0	0
.17915064	0	-2	5	8	0	1
.72490633	0	-2	6	3	1	0
-.72561789	0	-2	6	3	1	1
.48098639	0	-2	6	10	0	1
-.98907268	0	-7	7	0	1	1
-.32595345	0	-9	7	4	0	1
.57871205	0	-2	7	5	1	1
.24785577	0	-2	7	5	1	1
.22636007	0	-2	7	5	1	0
-.074418515	0	-2	7	5	1	0
.35170326	0	-3	7	5	1	0
-.38629434	0	-6	7	7	0	0
.5227046	0	-2	7	11	0	0
-.038196553	0	-8	9	0	1	1
-.42029873	0	-9	12	5	1	0
-.027062787	0	-8	4	0	0	0
.15665804	0	-7	4	2	0	1
-.20992836	0	-4	5	0	1	0
-.080961376	0	-6	6	5	0	0
.5304932	0	-2	4	6	0	0
-.022054603	0	-3	7	5	1	1
-.70160294	0	-7	9	11	0	1
1.533282	0	-4	4	5	0	0
-.16410701	0	-3	5	6	0	1
.16959034	0	-3	6	1	1	1
.2255082	0	-8	7	5	0	1
.16124135	0	-9	8	4	0	0
-.0032054563	0	-4	8	4	1	1
.011194203	0	-9	9	0	1	1
-.26684064	0	-10	13	0	0	1
1.7345171	0	-2	5	1	1	1
-.093692586	0	-8	8	0	1	0
-.5838927	0	-9	9	0	1	0
-.28375998	0	-7	8	2	1	1
-.47959182	0	-4	3	2	0	0
.58656859	0	-3	4	5	0	0
.05435247	0	-8	5	0	0	1
1.2325855	0	-2	5	1	1	0
.60536498	0	-3	6	1	1	0
-.4941352	0	-8	10	4	1	1
.064499952	0	-10	8	2	0	0
1.2633578	0	-3	3	5	0	1
-.32601413	0	-8	5	0	0	0
