INVSALES	treat	s	chica	id_firma	grande	PET	s2	s3	streat	streat2	streat3	notreat	snotreat	snotreat2	snotreat3	schica	schica2	schica3	sgrande	sgrande2	sgrande3	treatchica	streatchica	streatchica2	streatchica3	treatgrande	streatgrande	streatgrande2	streatgrande3	_est_A
-.029007634	0	-14	1	281	0	61	196	-2744	0	0	0	1	-14	196	-2744	-14	196	-2744	0	0	0	0	0	0	0	0	0	0	0	1
-.15017301	0	-5	1	220	0	70	25	-125	0	0	0	1	-5	25	-125	-5	25	-125	0	0	0	0	0	0	0	0	0	0	0	1
-.015873017	0	-26	1	288	0	49	676	-17576	0	0	0	1	-26	676	-17576	-26	676	-17576	0	0	0	0	0	0	0	0	0	0	0	1
.10960671	0	-5	1	240	0	70	25	-125	0	0	0	1	-5	25	-125	-5	25	-125	0	0	0	0	0	0	0	0	0	0	0	1
-.022904063	0	-8	1	182	0	67	64	-512	0	0	0	1	-8	64	-512	-8	64	-512	0	0	0	0	0	0	0	0	0	0	0	1
-.090439275	0	-38	1	329	0	37	1444	-54872	0	0	0	1	-38	1444	-54872	-38	1444	-54872	0	0	0	0	0	0	0	0	0	0	0	1
.095095098	0	-7	1	116	0	68	49	-343	0	0	0	1	-7	49	-343	-7	49	-343	0	0	0	0	0	0	0	0	0	0	0	1
.038402848	0	-7	1	346	0	68	49	-343	0	0	0	1	-7	49	-343	-7	49	-343	0	0	0	0	0	0	0	0	0	0	0	1
-.17268923	0	-3	1	54	0	72	9	-27	0	0	0	1	-3	9	-27	-3	9	-27	0	0	0	0	0	0	0	0	0	0	0	1
.0051020407	0	-44	1	203	0	31	1936	-85184	0	0	0	1	-44	1936	-85184	-44	1936	-85184	0	0	0	0	0	0	0	0	0	0	0	1
.013059702	0	-2	1	213	0	73	4	-8	0	0	0	1	-2	4	-8	-2	4	-8	0	0	0	0	0	0	0	0	0	0	0	1
-.016219689	0	-3	1	169	0	72	9	-27	0	0	0	1	-3	9	-27	-3	9	-27	0	0	0	0	0	0	0	0	0	0	0	1
-.074554607	0	-8	1	289	0	67	64	-512	0	0	0	1	-8	64	-512	-8	64	-512	0	0	0	0	0	0	0	0	0	0	0	1
-.18865107	0	-4	1	31	0	71	16	-64	0	0	0	1	-4	16	-64	-4	16	-64	0	0	0	0	0	0	0	0	0	0	0	1
.020140106	0	-5	1	176	0	70	25	-125	0	0	0	1	-5	25	-125	-5	25	-125	0	0	0	0	0	0	0	0	0	0	0	1
.0080710249	0	-44	1	250	0	31	1936	-85184	0	0	0	1	-44	1936	-85184	-44	1936	-85184	0	0	0	0	0	0	0	0	0	0	0	1
-.054853842	0	-5	1	90	0	70	25	-125	0	0	0	1	-5	25	-125	-5	25	-125	0	0	0	0	0	0	0	0	0	0	0	1
-.019856483	0	-20	1	198	0	55	400	-8000	0	0	0	1	-20	400	-8000	-20	400	-8000	0	0	0	0	0	0	0	0	0	0	0	1
-.017888239	0	-3	1	47	0	72	9	-27	0	0	0	1	-3	9	-27	-3	9	-27	0	0	0	0	0	0	0	0	0	0	0	1
.20292445	0	-44	1	76	0	31	1936	-85184	0	0	0	1	-44	1936	-85184	-44	1936	-85184	0	0	0	0	0	0	0	0	0	0	0	1
-.03822346	0	-44	1	299	0	31	1936	-85184	0	0	0	1	-44	1936	-85184	-44	1936	-85184	0	0	0	0	0	0	0	0	0	0	0	1
-.030774321	0	-10	1	256	0	65	100	-1000	0	0	0	1	-10	100	-1000	-10	100	-1000	0	0	0	0	0	0	0	0	0	0	0	1
